RespMat_ 1,RespMat_ 2,RespMat_ 3,RespMat_ 4,RespMat_ 5,RespMat_ 6,RespMat_ 7,RespMat_ 8,RespMat_ 9,RespMat_10,RespMat_11,RespMat_12,RespMat_13,RespMat_14,RespMat_15,RespMat_16,RespMat_17,RespMat_18,,,,,,,,,,,,,,,,,,
1,Trial number,Block number,Block trial number,Arrow direction,Scrambled?,Correct response,Response,Correct?,RT,T/D same/diff,D emotion,which T,,RT - ms,RT - Correct Responses,RT  - All Above 200ms,RT - Removed Outliers (3STD),,,Averages,,,,,,,STDEV,Average,,Outliers,Q1`,Q3,IQR,Upper Bound,Lower Bound
,451,10,19,1,2,z,z,1,0.562108142,1,3,2,,562.1081424,562.11,562.1081424,562.1081424,,,,,,,,,,,,,,,,,,
,452,10,20,2,2,a,a,1,1.165983526,1,3,1,,1165.983526,1165.98,1165.983526,1165.983526,,,,,,,,,,,,,,,,,,
,454,10,22,2,2,z,z,1,0.74963776,1,3,1,,749.6377601,749.64,749.6377601,749.6377601,,,,,,,,,,,,,,,,,,
,457,10,25,1,1,a,a,1,0.572201366,1,3,1,,572.2013662,572.20,572.2013662,572.2013662,,,,,,,,,,,,,,,,,,
,459,10,27,2,1,a,a,1,0.383629544,1,3,4,,383.6295443,383.63,383.6295443,383.6295443,,,,,,,,,,,,,,,,,,
,461,10,29,2,2,a,a,1,0.627492799,1,3,4,,627.4927993,627.49,627.4927993,627.4927993,,,,,,,,,,,,,,,,,,
,464,10,32,2,1,a,a,1,1.236716306,1,3,4,,1236.716306,1236.72,1236.716306,1236.716306,,,,,,,,,,,,,,,,,,
,469,10,37,1,1,a,a,1,0.755875625,2,3,4,,755.8756249,755.88,755.8756249,755.8756249,,,,,,,,,,,,,,,,,,
,476,10,44,2,1,a,a,1,0.467481467,1,3,1,,467.4814671,467.48,467.4814671,467.4814671,,,,,,,,,,,,,,,,,,
,477,10,45,1,2,z,z,1,0.71162234,1,3,2,,711.6223398,711.62,711.6223398,711.6223398,,,,,,,,,,,,,,,,,,
,479,10,47,1,1,a,z,0,0.71489345,1,3,4,,714.89345,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,481,11,1,1,2,z,z,1,0.415189215,2,3,3,,415.1892153,415.19,415.1892153,415.1892153,,,,,,,,,,,,,,,,,,
,482,11,2,2,1,z,z,1,0.512658059,1,3,1,,512.6580587,512.66,512.6580587,512.6580587,,,,,,,,,,,,,,,,,,
,486,11,6,1,1,a,p,0,1.500056605,1,3,3,,1500.056605,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,491,11,11,2,1,z,z,1,0.508625775,1,3,3,,508.6257752,508.63,508.6257752,508.6257752,,,,,,,,,,,,,,,,,,
,493,11,13,1,2,z,z,1,0.791015313,1,3,1,,791.0153128,791.02,791.0153128,791.0153128,,,,,,,,,,,,,,,,,,
,496,11,16,1,1,a,a,1,0.551265692,1,3,2,,551.2656921,551.27,551.2656921,551.2656921,,,,,,,,,,,,,,,,,,
,502,11,22,2,1,z,z,1,0.426821283,2,3,2,,426.8212831,426.82,426.8212831,426.8212831,,,,,,,,,,,,,,,,,,
,503,11,23,2,1,z,z,1,0.892589257,2,3,3,,892.5892572,892.59,892.5892572,892.5892572,,,,,,,,,,,,,,,,,,
,505,11,25,2,1,z,z,1,0.528671139,1,3,1,,528.6711386,528.67,528.6711386,528.6711386,,,,,,,,,,,,,,,,,,
,506,11,26,1,1,z,z,1,0.547615133,1,3,2,,547.6151331,547.62,547.6151331,547.6151331,,,,,,,,,,,,,,,,,,
,512,11,32,1,1,a,a,1,0.576302485,1,3,1,,576.302485,576.30,576.302485,576.302485,,,,,,,,,,,,,,,,,,
,518,11,38,2,1,z,a,0,0.76489308,1,3,3,,764.8930802,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,520,11,40,2,1,z,z,1,0.464883921,1,3,4,,464.8839211,464.88,464.8839211,464.8839211,,,,,,,,,,,,,,,,,,
,523,11,43,1,1,z,z,1,0.522669931,1,3,3,,522.6699313,522.67,522.6699313,522.6699313,,,,,,,,,,,,,,,,,,
,527,11,47,2,1,z,z,1,0.408518426,1,3,3,,408.518426,408.52,408.518426,408.518426,,,,,,,,,,,,,,,,,,
,528,11,48,1,2,z,a,0,0.777520134,1,3,2,,777.5201343,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,530,12,2,1,2,a,a,1,0.643773826,1,3,1,,643.7738257,643.77,643.7738257,643.7738257,,,,,,,,,,,,,,,,,,
,534,12,6,2,1,z,z,1,1.053238883,1,3,1,,1053.238883,1053.24,1053.238883,1053.238883,,,,,,,,,,,,,,,,,,
,535,12,7,2,1,z,a,0,1.075407339,1,3,4,,1075.407339,FALSE,FALSE,Outlier,,,,,,,,,,,,,,,,,,
,537,12,9,2,2,z,z,1,1.235513675,1,3,1,,1235.513675,1235.51,1235.513675,1235.513675,,,,,,,,,,,,,,,,,,
,545,12,17,1,1,a,a,1,0.785557963,1,3,1,,785.5579632,785.56,785.5579632,785.5579632,,,,,,,,,,,,,,,,,,
